83.7721 	EXP 	New trial (rep=42, index=0): None
83.7739 	DATA 	Keypress: up
83.7814 	EXP 	Fixation: autoDraw = False
83.7814 	EXP 	grating: autoDraw = False
83.7814 	EXP 	grating: ori = 1.0
83.7814 	EXP 	Fixation: autoDraw = True
84.7823 	EXP 	Fixation: autoDraw = False
84.7823 	EXP 	grating: autoDraw = True
85.0821 	EXP 	grating: autoDraw = False
85.4715 	EXP 	New trial (rep=43, index=0): None
85.4726 	DATA 	Keypress: down
85.4812 	EXP 	Fixation: autoDraw = False
85.4812 	EXP 	grating: autoDraw = False
85.4812 	EXP 	grating: ori = 0.0
85.4812 	EXP 	Fixation: autoDraw = True
86.4816 	EXP 	Fixation: autoDraw = False
86.4816 	EXP 	grating: autoDraw = True
86.7813 	EXP 	grating: autoDraw = False
87.2548 	EXP 	New trial (rep=44, index=0): None
87.2559 	DATA 	Keypress: up
87.2638 	EXP 	Fixation: autoDraw = False
87.2638 	EXP 	grating: autoDraw = False
87.2638 	EXP 	grating: ori = 1.0
87.2638 	EXP 	Fixation: autoDraw = True
88.2644 	EXP 	Fixation: autoDraw = False
88.2644 	EXP 	grating: autoDraw = True
88.5809 	EXP 	grating: autoDraw = False
88.8878 	EXP 	New trial (rep=45, index=0): None
88.8899 	DATA 	Keypress: up
88.8967 	EXP 	Fixation: autoDraw = False
88.8967 	EXP 	grating: autoDraw = False
88.8967 	EXP 	grating: ori = 0.0
88.8967 	EXP 	Fixation: autoDraw = True
89.8973 	EXP 	Fixation: autoDraw = False
89.8973 	EXP 	grating: autoDraw = True
90.1970 	EXP 	grating: autoDraw = False
90.7031 	EXP 	New trial (rep=46, index=0): None
90.7043 	DATA 	Keypress: up
90.7126 	EXP 	Fixation: autoDraw = False
90.7126 	EXP 	grating: autoDraw = False
90.7126 	EXP 	grating: ori = -4.0
90.7126 	EXP 	Fixation: autoDraw = True
91.7134 	EXP 	Fixation: autoDraw = False
91.7134 	EXP 	grating: autoDraw = True
92.0130 	EXP 	grating: autoDraw = False
92.3524 	EXP 	New trial (rep=47, index=0): None
92.3536 	DATA 	Keypress: down
92.3623 	EXP 	Fixation: autoDraw = False
92.3623 	EXP 	grating: autoDraw = False
92.3623 	EXP 	grating: ori = 0.0
92.3623 	EXP 	Fixation: autoDraw = True
93.3626 	EXP 	Fixation: autoDraw = False
93.3626 	EXP 	grating: autoDraw = True
93.6623 	EXP 	grating: autoDraw = False
94.1192 	EXP 	New trial (rep=48, index=0): None
94.1203 	DATA 	Keypress: up
94.1283 	EXP 	Fixation: autoDraw = False
94.1283 	EXP 	grating: autoDraw = False
94.1283 	EXP 	grating: ori = 1.0
94.1283 	EXP 	Fixation: autoDraw = True
95.1286 	EXP 	Fixation: autoDraw = False
95.1286 	EXP 	grating: autoDraw = True
95.4285 	EXP 	grating: autoDraw = False
95.9849 	EXP 	New trial (rep=49, index=0): None
95.9860 	DATA 	Keypress: up
95.9943 	EXP 	Fixation: autoDraw = False
95.9943 	EXP 	grating: autoDraw = False
95.9943 	EXP 	grating: ori = 1.0
95.9943 	EXP 	Fixation: autoDraw = True
96.9948 	EXP 	Fixation: autoDraw = False
96.9948 	EXP 	grating: autoDraw = True
97.2946 	EXP 	grating: autoDraw = False
97.9805 	DATA 	Keypress: up
98.0012 	EXP 	New trial (rep=50, index=0): None
98.0102 	EXP 	Fixation: autoDraw = False
98.0102 	EXP 	grating: autoDraw = False
98.0102 	EXP 	grating: ori = -3.0
98.0102 	EXP 	Fixation: autoDraw = True
99.0109 	EXP 	Fixation: autoDraw = False
99.0109 	EXP 	grating: autoDraw = True
99.3106 	EXP 	grating: autoDraw = False
99.6965 	DATA 	Keypress: down
99.7172 	EXP 	New trial (rep=51, index=0): None
99.7263 	EXP 	Fixation: autoDraw = False
99.7263 	EXP 	grating: autoDraw = False
99.7263 	EXP 	grating: ori = -3.0
99.7263 	EXP 	Fixation: autoDraw = True
100.7269 	EXP 	Fixation: autoDraw = False
100.7269 	EXP 	grating: autoDraw = True
101.0265 	EXP 	grating: autoDraw = False
101.6326 	EXP 	New trial (rep=52, index=0): None
101.6344 	DATA 	Keypress: down
101.6421 	EXP 	Fixation: autoDraw = False
101.6421 	EXP 	grating: autoDraw = False
101.6421 	EXP 	grating: ori = 0.0
101.6421 	EXP 	Fixation: autoDraw = True
102.6427 	EXP 	Fixation: autoDraw = False
102.6427 	EXP 	grating: autoDraw = True
102.9426 	EXP 	grating: autoDraw = False
103.4655 	EXP 	New trial (rep=53, index=0): None
103.4675 	DATA 	Keypress: down
103.4751 	EXP 	Fixation: autoDraw = False
103.4751 	EXP 	grating: autoDraw = False
103.4751 	EXP 	grating: ori = -5.0
103.4751 	EXP 	Fixation: autoDraw = True
104.4755 	EXP 	Fixation: autoDraw = False
104.4755 	EXP 	grating: autoDraw = True
104.7754 	EXP 	grating: autoDraw = False
105.3646 	EXP 	New trial (rep=54, index=0): None
105.3662 	DATA 	Keypress: down
105.3748 	EXP 	Fixation: autoDraw = False
105.3748 	EXP 	grating: autoDraw = False
105.3748 	EXP 	grating: ori = 0.0
105.3748 	EXP 	Fixation: autoDraw = True
106.3749 	EXP 	Fixation: autoDraw = False
106.3749 	EXP 	grating: autoDraw = True
106.6748 	EXP 	grating: autoDraw = False
107.2812 	EXP 	New trial (rep=55, index=0): None
107.2823 	DATA 	Keypress: up
107.2901 	EXP 	Fixation: autoDraw = False
107.2901 	EXP 	grating: autoDraw = False
107.2901 	EXP 	grating: ori = -5.0
107.2901 	EXP 	Fixation: autoDraw = True
108.2908 	EXP 	Fixation: autoDraw = False
108.2908 	EXP 	grating: autoDraw = True
108.5909 	EXP 	grating: autoDraw = False
109.1795 	EXP 	New trial (rep=56, index=0): None
109.1806 	DATA 	Keypress: up
109.1897 	EXP 	Fixation: autoDraw = False
109.1897 	EXP 	grating: autoDraw = False
109.1897 	EXP 	grating: ori = 0.0
109.1897 	EXP 	Fixation: autoDraw = True
110.1903 	EXP 	Fixation: autoDraw = False
110.1903 	EXP 	grating: autoDraw = True
110.4901 	EXP 	grating: autoDraw = False
110.9138 	EXP 	New trial (rep=57, index=0): None
110.9149 	DATA 	Keypress: up
110.9223 	EXP 	Fixation: autoDraw = False
110.9223 	EXP 	grating: autoDraw = False
110.9223 	EXP 	grating: ori = 3.0
110.9223 	EXP 	Fixation: autoDraw = True
111.9227 	EXP 	Fixation: autoDraw = False
111.9227 	EXP 	grating: autoDraw = True
112.2229 	EXP 	grating: autoDraw = False
112.6088 	DATA 	Keypress: down
112.6283 	EXP 	New trial (rep=58, index=0): None
112.6386 	EXP 	Fixation: autoDraw = False
112.6386 	EXP 	grating: autoDraw = False
112.6386 	EXP 	grating: ori = 0.0
112.6386 	EXP 	Fixation: autoDraw = True
113.6391 	EXP 	Fixation: autoDraw = False
113.6391 	EXP 	grating: autoDraw = True
113.9391 	EXP 	grating: autoDraw = False
114.5445 	EXP 	New trial (rep=59, index=0): None
114.5459 	DATA 	Keypress: up
114.5546 	EXP 	Fixation: autoDraw = False
114.5546 	EXP 	grating: autoDraw = False
114.5546 	EXP 	grating: ori = -2.0
114.5546 	EXP 	Fixation: autoDraw = True
115.5552 	EXP 	Fixation: autoDraw = False
115.5552 	EXP 	grating: autoDraw = True
115.8548 	EXP 	grating: autoDraw = False
116.4276 	EXP 	New trial (rep=60, index=0): None
116.4292 	DATA 	Keypress: down
116.4370 	EXP 	Fixation: autoDraw = False
116.4370 	EXP 	grating: autoDraw = False
116.4370 	EXP 	grating: ori = 0.0
116.4370 	EXP 	Fixation: autoDraw = True
117.4378 	EXP 	Fixation: autoDraw = False
117.4378 	EXP 	grating: autoDraw = True
117.7376 	EXP 	grating: autoDraw = False
118.0606 	EXP 	New trial (rep=61, index=0): None
118.0627 	DATA 	Keypress: up
118.0705 	EXP 	Fixation: autoDraw = False
118.0705 	EXP 	grating: autoDraw = False
118.0705 	EXP 	grating: ori = 0.0
118.0705 	EXP 	Fixation: autoDraw = True
119.0707 	EXP 	Fixation: autoDraw = False
119.0707 	EXP 	grating: autoDraw = True
119.3705 	EXP 	grating: autoDraw = False
119.8935 	EXP 	New trial (rep=62, index=0): None
119.8949 	DATA 	Keypress: up
